Fecha,Dia_semana,Dia_mes,Hora,Tipo,Cantidad,Producto,Clave_producto,Folio,Cliente,Caja,Usuario,Precio_unitario,Precio_producto,Total,Efectivo,Cheque,Crédito,Transferencia,Vales,Tarjeta,Anticipo,SICAR Pagos
04/11/2020,4,4,14,KG,0.195,JAMON SERRANO,[EMBGEN68741],262,Público en General,Caja 1,admin,435,84.83,405.71,405.71,0,0,0,0,0,0,0
04/11/2020,4,4,14,KG,0.305,SELVA NEGRA,[EMBGEN17604],262,Público en General,Caja 1,admin,188,57.34,405.71,405.71,0,0,0,0,0,0,0
04/11/2020,4,4,14,PZA,1,CHIPS GDE,[BOTCOM38829],262,Público en General,Caja 1,admin,56,56,405.71,405.71,0,0,0,0,0,0,0
04/11/2020,4,4,14,PZA,1,BAGUETTE SUAVE,[PANRUS91930],262,Público en General,Caja 1,admin,25,25,405.71,405.71,0,0,0,0,0,0,0
04/11/2020,4,4,14,PZA,1,CARNE AL PASTOR 1KG,[COMJUA46809],263,Público en General,Caja 1,admin,325,325,325,325,0,0,0,0,0,0,0
04/11/2020,4,4,14,PZA,1,TORTILLAS MAIZ A MANO GRANDE,[TORMAN96612],264,Público en General,Caja 1,admin,15,15,15,15,0,0,0,0,0,0,0
04/11/2020,4,4,15,PZA,1,BOCATA SALAMI,[COMBOC33604],265,Público en General,Caja 1,admin,65,65,145,145,0,0,0,0,0,0,0
04/11/2020,4,4,15,PZA,1,BOCATA DE JAMON SERRANO,[COMBOC78034],265,Público en General,Caja 1,admin,80,80,145,145,0,0,0,0,0,0,0
04/11/2020,4,4,15,PZA,1,BALSAMICO OSCURO HIGO,[OLIBAL41262],266,Público en General,Caja 1,admin,280,280,964.14,0,0,0,0,0,964.14,0,0
04/11/2020,4,4,15,PZA,1,ACEITE DE OLIVA HIERBAS DE TOSCANA,[OLIACE37864],266,Público en General,Caja 1,admin,280,280,964.14,0,0,0,0,0,964.14,0,0
04/11/2020,4,4,15,KG,0.11,ROAST BEEF/CORNED BEEF,[EMBGEN49865],266,Público en General,Caja 1,admin,287,31.57,964.14,0,0,0,0,0,964.14,0,0
04/11/2020,4,4,15,KG,0.245,PASTRAMI,[EMBGEN27925],266,Público en General,Caja 1,admin,287,70.32,964.14,0,0,0,0,0,964.14,0,0
04/11/2020,4,4,15,KG,0.255,SELVA NEGRA,[EMBGEN17604],266,Público en General,Caja 1,admin,188,47.94,964.14,0,0,0,0,0,964.14,0,0
04/11/2020,4,4,15,KG,0.405,SALCHICHA DESAYUNO,[EMBGEN47609],266,Público en General,Caja 1,admin,149,60.35,964.14,0,0,0,0,0,964.14,0,0
04/11/2020,4,4,15,PZA,1,HUEVOS DE LIBRE PASTOREO 18,[COMHUE41525],266,Público en General,Caja 1,admin,97,97,964.14,0,0,0,0,0,964.14,0,0
04/11/2020,4,4,15,KG,0.505,JAMON VIRGINIA,[EMBGEN75114],266,Público en General,Caja 1,admin,192,96.96,964.14,0,0,0,0,0,964.14,0,0
04/11/2020,4,4,15,PZA,1,YOGURT FRUTA CON AZUCAR,[YOGNAT38458],267,Público en General,Caja 1,admin,39,39,110.28,0,0,0,0,0,110.28,0,0
04/11/2020,4,4,15,KG,0.095,QUESO DE PUERCO,[EMBGEN70751],267,Público en General,Caja 1,admin,139,13.21,110.28,0,0,0,0,0,110.28,0,0
04/11/2020,4,4,15,KG,0.12,LOMO RELLENO,[EMBGEN21208],267,Público en General,Caja 1,admin,199,23.88,110.28,0,0,0,0,0,110.28,0,0
04/11/2020,4,4,15,KG,0.215,PATHE,[EMBGEN97440],267,Público en General,Caja 1,admin,159,34.19,110.28,0,0,0,0,0,110.28,0,0
04/11/2020,4,4,15,PZA,1,YOGURT FRUTA CON AZUCAR,[YOGNAT38458],268,Público en General,Caja 1,admin,39,39,131.38,131.38,0,0,0,0,0,0,0
04/11/2020,4,4,15,KG,0.255,QUESO DE PUERCO,[EMBGEN70751],268,Público en General,Caja 1,admin,139,35.45,131.38,131.38,0,0,0,0,0,0,0
04/11/2020,4,4,15,KG,0.575,CHORIZO ESPAÑOL,[EMBGEN78796],268,Público en General,Caja 1,admin,99,56.93,131.38,131.38,0,0,0,0,0,0,0
04/11/2020,4,4,16,PZA,1,JUGO ADES MANZANA,[7501005114509],269,Público en General,Caja 1,admin,7,7,7,7,0,0,0,0,0,0,0
04/11/2020,4,4,16,KG,0.11,QUESO AHUMADO T. KRON NATURAL,[QUEIMP45047],270,Público en General,Caja 1,admin,467,51.37,331.52,331.52,0,0,0,0,0,0,0
04/11/2020,4,4,16,KG,0.11,QUESO GOUDA CHILENO,[SINSIN31382],270,Público en General,Caja 1,admin,170,18.7,331.52,331.52,0,0,0,0,0,0,0
04/11/2020,4,4,16,KG,0.215,ROAST BEEF/CORNED BEEF,[EMBGEN49865],270,Público en General,Caja 1,admin,287,61.71,331.52,331.52,0,0,0,0,0,0,0
04/11/2020,4,4,16,KG,0.1,CHORIZO PAMPLONA,[EMBGEN80550],270,Público en General,Caja 1,admin,309,30.9,331.52,331.52,0,0,0,0,0,0,0
04/11/2020,4,4,16,KG,0.1,SELVA NEGRA,[EMBGEN17604],270,Público en General,Caja 1,admin,188,18.8,331.52,331.52,0,0,0,0,0,0,0
04/11/2020,4,4,16,KG,0.2045,PASTRAMI,[EMBGEN27925],270,Público en General,Caja 1,admin,287,58.69,331.52,331.52,0,0,0,0,0,0,0
04/11/2020,4,4,16,KG,0.21,JAMON SERRANO,[EMBGEN68741],270,Público en General,Caja 1,admin,435,91.35,331.52,331.52,0,0,0,0,0,0,0
04/11/2020,4,4,16,PZA,1,BROWNIES FER MTZ,[POSFER28400],271,Público en General,Caja 1,admin,14,14,14,0,0,0,0,0,14,0,0
04/11/2020,4,4,17,PZA,1,GALLETAS BOLSA CH SURTIDA BISCOTTI,[GALBIS29288],272,Público en General,Caja 1,admin,35,35,35,35,0,0,0,0,0,0,0
04/11/2020,4,4,17,PZA,2,PALETAS VAINILLA Y CAJETA,[PALKIK52318],273,Público en General,Caja 1,admin,20,40,136,0,0,0,0,0,136,0,0
04/11/2020,4,4,17,PZA,1,CHILITO STEVIA,[7500462965976],273,Público en General,Caja 1,admin,68,68,136,0,0,0,0,0,136,0,0
04/11/2020,4,4,17,PZA,2,BROWNIES FER MTZ,[POSFER28400],273,Público en General,Caja 1,admin,14,28,136,0,0,0,0,0,136,0,0
04/11/2020,4,4,18,PZA,1,CREMA DE AVELLANA Y CACAO S/A 500,[7502265252314],274,Público en General,Caja 1,admin,190,190,260,0,0,0,0,0,260,0,0
04/11/2020,4,4,18,PZA,1,SALSA JOSEPINA,[SALJOS14968],274,Público en General,Caja 1,admin,70,70,260,0,0,0,0,0,260,0,0
04/11/2020,4,4,18,PZA,1,BAGUETTE SUAVE,[PANRUS91930],275,Público en General,Caja 1,admin,25,25,380.92,0,0,0,0,0,380.92,0,0
04/11/2020,4,4,18,PZA,3,SALSA PANZANI ORIGINAL 400 GR,[3038354256207],275,Público en General,Caja 1,admin,68,204,380.92,0,0,0,0,0,380.92,0,0
04/11/2020,4,4,18,PZA,1,PIZZAS CONGELADAS,[PIZBAS90019],275,Público en General,Caja 1,admin,84,84,380.92,0,0,0,0,0,380.92,0,0
04/11/2020,4,4,18,KG,0.24,QUESO PROVOLETA P. PALERMO,[QUEIMP78914],275,Público en General,Caja 1,admin,283,67.92,380.92,0,0,0,0,0,380.92,0,0
05/11/2020,5,5,11,KG,0.605,PANELA FRANCISCO,[LACFRA53179],276,Público en General,Caja 1,admin,95,57.48,427.48,427.48,0,0,0,0,0,0,0
05/11/2020,5,5,11,PZA,1,CACAHUATE GDE COMALLI,[BOTCOM97109],276,Público en General,Caja 1,admin,35,35,427.48,427.48,0,0,0,0,0,0,0
05/11/2020,5,5,11,PZA,2,CAJA DE GALLETAS 1/4 BISCOTTI,[GALBIS69044],276,Público en General,Caja 1,admin,90,180,427.48,427.48,0,0,0,0,0,0,0
05/11/2020,5,5,11,PZA,1,BOLSA DE CHIPS DE NOPAL,[GALBIS34264],276,Público en General,Caja 1,admin,25,25,427.48,427.48,0,0,0,0,0,0,0
05/11/2020,5,5,11,PZA,1,CHAPATA,[PANRUS62454],276,Público en General,Caja 1,admin,15,15,427.48,427.48,0,0,0,0,0,0,0
05/11/2020,5,5,11,PZA,2,BAGUETTE SUAVE,[PANRUS91930],276,Público en General,Caja 1,admin,25,50,427.48,427.48,0,0,0,0,0,0,0
05/11/2020,5,5,11,PZA,1,HUEVOS DE LIBRE PASTOREO 12,[COMHUE73799],276,Público en General,Caja 1,admin,65,65,427.48,427.48,0,0,0,0,0,0,0
05/11/2020,5,5,11,PZA,1,PAPAS ARTESANALES TREJOS MED 200 GR,[BOTPAP46522],277,Público en General,Caja 1,admin,37,37,37,37,0,0,0,0,0,0,0
05/11/2020,5,5,11,PZA,1,QUESO DE CABRA NF CON ESPECIAS,[7503012771072],278,Público en General,Caja 1,admin,56,56,121,121,0,0,0,0,0,0,0
05/11/2020,5,5,11,PZA,1,PAN DARE MELBA NATURAL 200 GR,[056951420404],278,Público en General,Caja 1,admin,65,65,121,121,0,0,0,0,0,0,0
05/11/2020,5,5,12,PZA,1,PAN TOSTADO EL ARABE,[7500462987459],279,Público en General,Caja 1,admin,76,76,423.9,0,0,0,0,0,423.9,0,0
05/11/2020,5,5,12,KG,0.2,QUESO GOUDA CHILENO,[SINSIN31382],279,Público en General,Caja 1,admin,170,34,423.9,0,0,0,0,0,423.9,0,0
